nombre,plataforma,genero,año,horas_jugadas,puntuacion,desarrolladora,completado
Fire Emblem: Three Houses,Nintendo Switch,RPG,2019,180,10,Intelligent Systems,True
NieR: Automata,PC,Acción,2017,40,10,Platinum Games,True
Persona 4 Golden,PC,RPG,2008,90,10,ATLUS,True
Assassin's Creed IV: Black Flag,PC,Acción,2013,30,8,Ubisoft,False
GTA V,PC,Mundo Abierto,2013,80,8,Rockstar,False
GTA San Andreas,PC,Mundo Abierto,2004,60,9,Rockstar,False
Pokémon Luna,Nintendo 3DS,RPG,2016,30,8,Game Freak,True
Super Smash Bros: Ultimate,Nintendo Switch,Lucha,2018,200,9,Bandai Namco,False
League of Legends,PC,MOBA,2010,250,7,Riot Games,False
Valorant,PC,Shooter,2020,70,6,Riot Games,False
Monster Hunter: World,PC,Acción,2018,80,9,Capcom,True
Dark Souls,PC,RPG,2011,20,7,FromSoftware,False
Lies of P,PC,Acción,2023,15,8,Round 8 Studio,False
Overwatch,PC,Shooter,2016,200,8,Blizzard,False
Dark Souls III,PC,RPG,2016,30,9,FromSoftware,False
Fire Emblem Awakening,Nintendo 3DS,Estrategia,2012,40,8,Intelligent Systems,False
Super Mario Odyssey,Nintendo Switch,Plataformas,2017,30,8,Nintendo,True
Resident Evil 3: Remake,PC,Acción,2020,8,8,Capcom,True
Sonic Colors,Wii,Plataformas,2010,20,7,SEGA,True
Guilty Gear: Strive,PC,Lucha,2021,15,7,ArcSystem Works,False
